epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.5556,2.1838,1.178,0.64137,0.05738,0.21102,0.08923,1.5681,3.3089,1.9188,0.00062,0.00062,0.00062
2,1.5436,1.4011,1.1977,0.18551,0.15582,0.09703,0.03368,1.9729,3.0873,3.1442,0.0012475,0.0012475,0.0012475
3,1.5884,1.3788,1.2313,0.04848,0.22915,0.02812,0.00999,2.6553,4.3603,3.2621,0.0018624,0.0018624,0.0018624
4,1.6483,1.3089,1.2561,0.43346,0.35472,0.308,0.16025,2.6041,7.0337,5.4856,0.0019406,0.0019406,0.0019406
5,1.602,1.2502,1.2505,0.51803,0.44332,0.43826,0.21488,2.0726,3.231,2.2607,0.0019406,0.0019406,0.0019406
6,1.546,1.1621,1.2159,0.63895,0.49311,0.51189,0.28324,2.1289,2.3889,2.4356,0.0019208,0.0019208,0.0019208
7,1.5146,1.1186,1.2134,0.72204,0.6119,0.68386,0.37965,1.7726,3.2765,1.9914,0.001901,0.001901,0.001901
8,1.5004,1.0918,1.1902,0.63413,0.60686,0.62236,0.33523,1.656,2.2181,1.7992,0.0018812,0.0018812,0.0018812
9,1.4949,1.0806,1.1938,0.66981,0.49679,0.53792,0.30864,1.8453,3.8336,1.9071,0.0018614,0.0018614,0.0018614
10,1.4491,1.0075,1.1746,0.66995,0.5842,0.6617,0.39214,1.5944,2.8152,1.6753,0.0018416,0.0018416,0.0018416
11,1.4242,1.0143,1.1602,0.69065,0.63436,0.68315,0.38796,1.7787,1.6656,1.9268,0.0018218,0.0018218,0.0018218
12,1.4411,0.99359,1.1805,0.69282,0.66636,0.6813,0.38166,1.7272,1.7604,1.8692,0.001802,0.001802,0.001802
13,1.4298,1.0108,1.167,0.64738,0.6242,0.68325,0.37966,1.5258,1.8651,1.6371,0.0017822,0.0017822,0.0017822
14,1.4024,0.96672,1.154,0.7777,0.68469,0.75434,0.41171,1.71,1.2324,1.8175,0.0017624,0.0017624,0.0017624
15,1.4097,0.96841,1.1607,0.76477,0.67553,0.74339,0.41045,1.685,1.4315,1.7704,0.0017426,0.0017426,0.0017426
16,1.3959,0.94256,1.144,0.77384,0.73236,0.80721,0.47187,1.5392,1.2931,1.6239,0.0017228,0.0017228,0.0017228
17,1.3682,0.92783,1.1259,0.77925,0.73236,0.81387,0.48539,1.6034,1.6296,1.7778,0.001703,0.001703,0.001703
18,1.359,0.90127,1.1301,0.70434,0.61358,0.67728,0.40556,1.6751,1.8247,1.7679,0.0016832,0.0016832,0.0016832
19,1.357,0.8926,1.1212,0.74788,0.73877,0.77589,0.44523,1.4492,1.521,1.6044,0.0016634,0.0016634,0.0016634
20,1.344,0.89256,1.125,0.71869,0.69781,0.75577,0.42281,1.4588,1.3704,1.5899,0.0016436,0.0016436,0.0016436
21,1.3153,0.86262,1.116,0.80329,0.75435,0.82331,0.49869,1.5002,1.3655,1.6586,0.0016238,0.0016238,0.0016238
22,1.3714,0.87863,1.131,0.79267,0.71311,0.80091,0.45838,1.4719,1.3012,1.6286,0.001604,0.001604,0.001604
23,1.3317,0.84645,1.1157,0.84063,0.76444,0.859,0.5192,1.5218,1.035,1.6657,0.0015842,0.0015842,0.0015842
24,1.3002,0.8247,1.0981,0.80652,0.69538,0.78746,0.46447,1.479,1.1483,1.6052,0.0015644,0.0015644,0.0015644
25,1.34,0.84104,1.1024,0.81877,0.76719,0.8406,0.50196,1.4527,1.1154,1.5635,0.0015446,0.0015446,0.0015446
26,1.3046,0.82532,1.099,0.83287,0.77635,0.84514,0.52154,1.3973,1.0565,1.5617,0.0015248,0.0015248,0.0015248
27,1.2971,0.81956,1.101,0.82377,0.76264,0.8501,0.51854,1.4268,1.1691,1.5787,0.001505,0.001505,0.001505
28,1.3112,0.83167,1.11,0.82705,0.80568,0.8533,0.51597,1.381,1.0604,1.5068,0.0014852,0.0014852,0.0014852
29,1.2686,0.81867,1.09,0.81176,0.75985,0.83087,0.49725,1.5421,1.1933,1.6724,0.0014654,0.0014654,0.0014654
30,1.2963,0.82043,1.0945,0.84514,0.74033,0.82244,0.4912,1.4814,1.2299,1.636,0.0014456,0.0014456,0.0014456
31,1.2465,0.78427,1.0795,0.85032,0.79148,0.86054,0.50258,1.5403,1.3199,1.7023,0.0014258,0.0014258,0.0014258
32,1.2684,0.77834,1.0803,0.82121,0.77177,0.8504,0.51385,1.489,1.0961,1.6723,0.001406,0.001406,0.001406
33,1.2411,0.78113,1.0742,0.82974,0.80385,0.87301,0.5337,1.4164,1.1164,1.5675,0.0013862,0.0013862,0.0013862
34,1.2386,0.77489,1.071,0.83434,0.78019,0.85887,0.52985,1.5085,1.0819,1.6512,0.0013664,0.0013664,0.0013664
35,1.227,0.76318,1.0718,0.82079,0.77664,0.84361,0.50688,1.3575,1.0568,1.5234,0.0013466,0.0013466,0.0013466
